Model,Macro f1-score,Accuracy
resnet18_barlow_twins,0.9183723540047315,0.9201277955271565
resnet34_imagenet,0.9408313887301323,0.9424920127795527
resnet34_barlow_twins,0.9274362913172973,0.9297124600638977
ae,0.8033121100032864,0.8115015974440895
lr,0.9057381434033684,0.9073482428115016
lda,0.8790619335795635,0.8817891373801917
SVM,0.9023838096479992,0.9041533546325878
RF,0.9087490601473385,0.9105431309904153
xgb,0.9216228980967007,0.9233226837060703
deepflow,0.8884869247279196,0.8913738019169329
resnet18_imagenet,0.9004031916411681,0.9041533546325878
resnet18_barlow_twins,0.9081430845966197,0.9105431309904153
resnet34_imagenet,0.9109463695233677,0.9137380191693291
resnet34_barlow_twins,0.9099890510737824,0.9137380191693291
ae,0.7605996005659774,0.7667731629392971
lr,0.8800962118811495,0.8849840255591054
lda,0.86953519509484,0.8753993610223643
SVM,0.8881177679470975,0.8913738019169329
RF,0.8761201639773109,0.8785942492012779
xgb,0.9171148977272016,0.9201277955271565
deepflow,0.897544247164602,0.8980891719745223
resnet18_imagenet,0.8943598355260858,0.8949044585987261
resnet18_barlow_twins,0.8825079827084514,0.8821656050955414
resnet34_imagenet,0.9068359074261192,0.9076433121019108
resnet34_barlow_twins,0.8903354639907654,0.89171974522293
ae,0.7822562770787188,0.7898089171974523
lr,0.9006314757375438,0.9012738853503185
lda,0.8604667766221529,0.8630573248407644
SVM,0.8778526057664733,0.8789808917197452
RF,0.8890256072443634,0.89171974522293
xgb,0.9052170623074036,0.9076433121019108
deepflow,0.8898752409764996,0.89171974522293
resnet18_imagenet,0.890451003187155,0.89171974522293
resnet18_barlow_twins,0.9092531547476308,0.910828025477707
resnet34_imagenet,0.8958278416204907,0.8980891719745223
resnet34_barlow_twins,0.9021389942230437,0.9044585987261147
ae,0.7775376189998984,0.7834394904458599
lr,0.8899939123267292,0.89171974522293
lda,0.8668286277274674,0.8694267515923567
SVM,0.9085339883298436,0.910828025477707
RF,0.8852530751141863,0.8885350318471338
xgb,0.9088021920000292,0.910828025477707
deepflow,0.8797645890555988,0.8849840255591054
resnet18_imagenet,0.8971344335237413,0.9009584664536742
resnet18_barlow_twins,0.9170344227289264,0.9201277955271565
resnet34_imagenet,0.9206082691051046,0.9233226837060703
resnet34_barlow_twins,0.9231018182770777,0.9265175718849841
ae,0.7779307864948695,0.7891373801916933
lr,0.8959959551501553,0.9009584664536742
lda,0.8492903827571125,0.8562300319488818
SVM,0.8827168007764578,0.8881789137380192
RF,0.8965544970408678,0.9009584664536742
xgb,0.9124633185954176,0.9169329073482428
deepflow,0.9255078353404022,0.9265175718849841
resnet18_imagenet,0.94083767942189,0.9424920127795527
resnet18_barlow_twins,0.9466723460811541,0.9488817891373802
resnet34_imagenet,0.9372068796646578,0.939297124600639
resnet34_barlow_twins,0.9313709331057256,0.9329073482428115
ae,0.798893981485951,0.805111821086262
lr,0.9055234260534374,0.9105431309904153
lda,0.9150001930978396,0.9169329073482428
SVM,0.9099279814129717,0.9137380191693291
RF,0.9146555878705455,0.9169329073482428
xgb,0.9398029086009259,0.9424920127795527
deepflow,0.9191042643413039,0.9201277955271565
resnet18_imagenet,0.8797104800022976,0.8817891373801917
resnet18_barlow_twins,0.9012147865645572,0.9041533546325878
resnet34_imagenet,0.8935679261319708,0.8977635782747604
resnet34_barlow_twins,0.894103314557189,0.8977635782747604
ae,0.8026808207970295,0.8083067092651757
lr,0.8899400687781746,0.8913738019169329
lda,0.8568955430801475,0.8594249201277955
SVM,0.8987456875104451,0.9009584664536742
RF,0.9121707044127123,0.9137380191693291
xgb,0.9186908403858958,0.9201277955271565
deepflow,0.8954725554484756,0.8980891719745223
resnet18_imagenet,0.8920043719740399,0.8949044585987261
resnet18_barlow_twins,0.9259994228699379,0.9267515923566879
resnet34_imagenet,0.9104888177031439,0.9140127388535032
resnet34_barlow_twins,0.9170982272969823,0.9203821656050956
ae,0.7625113621765975,0.7707006369426752
lr,0.8806221007073936,0.8853503184713376
lda,0.8461127172838538,0.8503184713375797
SVM,0.8877178528661822,0.89171974522293
RF,0.8869726450829029,0.89171974522293
xgb,0.9137908006433446,0.9171974522292994
deepflow,0.9037852660796596,0.9044585987261147
resnet18_imagenet,0.9067991651152476,0.9076433121019108
resnet18_barlow_twins,0.9132355423525524,0.9140127388535032
resnet34_imagenet,0.9189722931449591,0.9203821656050956
resnet34_barlow_twins,0.9227730306659238,0.9235668789808917
ae,0.7983813276374457,0.8057324840764332
lr,0.8941106410483921,0.8949044585987261
lda,0.8703889173777564,0.8726114649681529
SVM,0.8902959258442533,0.89171974522293
RF,0.8913383577681103,0.89171974522293
xgb,0.9057819992893523,0.9076433121019108
deepflow,0.9113716345287968,0.9137380191693291
resnet18_imagenet,0.8952940381432852,0.8977635782747604
resnet18_barlow_twins,0.9245595914419528,0.9265175718849841
resnet34_imagenet,0.9297253650588806,0.9329073482428115
resnet34_barlow_twins,0.9136538985775952,0.9169329073482428
ae,0.8123898095427671,0.8178913738019169
lr,0.9116792187179664,0.9137380191693291
lda,0.8951352255829753,0.8977635782747604
SVM,0.9076281124142542,0.9105431309904153
RF,0.9165775562131532,0.9201277955271565
xgb,0.9307718819816961,0.9329073482428115
deepflow,0.9218158935547963,0.9233226837060703
resnet18_imagenet,0.9143543089527024,0.9169329073482428
resnet18_barlow_twins,0.9061946172713681,0.9105431309904153
resnet34_imagenet,0.8996762258677771,0.9041533546325878
resnet34_barlow_twins,0.8991826217620473,0.9041533546325878
ae,0.7585213046602209,0.7667731629392971
lr,0.8999798558512325,0.9041533546325878
lda,0.8607349870289784,0.865814696485623
SVM,0.901227680010948,0.9041533546325878
RF,0.9053352335683384,0.9073482428115016
xgb,0.9219513006140525,0.9233226837060703
deepflow,0.8800587047593024,0.8817891373801917
resnet18_imagenet,0.893487164425944,0.8945686900958466
resnet18_barlow_twins,0.8856194055740035,0.8881789137380192
resnet34_imagenet,0.8929207208597476,0.8945686900958466
resnet34_barlow_twins,0.8869789452758288,0.8881789137380192
ae,0.809262578604956,0.8146964856230032
lr,0.8959055243034759,0.8977635782747604
lda,0.8774257480872788,0.8785942492012779
SVM,0.8927901646993757,0.8945686900958466
RF,0.8979194435133917,0.9009584664536742
xgb,0.9140652635547303,0.9169329073482428
deepflow,0.8962542269018609,0.8980891719745223
resnet18_imagenet,0.8909833323202159,0.8949044585987261
resnet18_barlow_twins,0.8838345257889291,0.8853503184713376
resnet34_imagenet,0.8698369840386531,0.8726114649681529
resnet34_barlow_twins,0.900810584801813,0.9044585987261147
ae,0.7852640188771386,0.7961783439490446
lr,0.9084852670365378,0.910828025477707
lda,0.853621004646529,0.8598726114649682
SVM,0.8889773284933712,0.89171974522293
RF,0.8804608813030099,0.8853503184713376
xgb,0.9051754624891165,0.9076433121019108
deepflow,0.8960700097909409,0.8980891719745223
resnet18_imagenet,0.8958866535411746,0.8980891719745223
resnet18_barlow_twins,0.9252364611691222,0.9267515923566879
resnet34_imagenet,0.9193627406252474,0.9203821656050956
resnet34_barlow_twins,0.9197000754825128,0.9203821656050956
ae,0.8011141554734806,0.8057324840764332
lr,0.8895873795810009,0.89171974522293
lda,0.8595626818764708,0.8630573248407644
SVM,0.8926444206121121,0.8949044585987261
RF,0.8923190181495413,0.8949044585987261
xgb,0.9048502461286707,0.9076433121019108
deepflow,0.909266720885083,0.9105431309904153
resnet18_imagenet,0.909095653940084,0.9105431309904153
resnet18_barlow_twins,0.9091309407467433,0.9105431309904153
resnet34_imagenet,0.9245730360148507,0.9265175718849841
resnet34_barlow_twins,0.920016308821931,0.9233226837060703
ae,0.7927057867823868,0.8019169329073482
lr,0.8768005683445161,0.8817891373801917
lda,0.8763246254700122,0.8785942492012779
SVM,0.8835090934167711,0.8881789137380192
RF,0.8923227402126666,0.8945686900958466
xgb,0.918619458041638,0.9201277955271565
deepflow,0.9164559326522913,0.9169329073482428
resnet18_imagenet,0.910820118752549,0.9105431309904153
resnet18_barlow_twins,0.9516167809330734,0.952076677316294
resnet34_imagenet,0.9321156467087488,0.9329073482428115
resnet34_barlow_twins,0.9184130448516304,0.9201277955271565
ae,0.7643749875015653,0.7731629392971247
lr,0.9089687100164555,0.9105431309904153
lda,0.8999450530784578,0.9009584664536742
SVM,0.899255208505756,0.9009584664536742
RF,0.9317234937900576,0.9329073482428115
xgb,0.9415436892255777,0.9424920127795527
deepflow,0.895037930539684,0.8977635782747604
resnet18_imagenet,0.8954947838502869,0.8977635782747604
resnet18_barlow_twins,0.8872814485602171,0.8913738019169329
resnet34_imagenet,0.9099271749484549,0.9137380191693291
resnet34_barlow_twins,0.8816143849987667,0.8849840255591054
ae,0.7952912776068212,0.7987220447284346
lr,0.8979008371837636,0.9009584664536742
lda,0.8587892656100036,0.8626198083067093
SVM,0.9142850316335761,0.9169329073482428
RF,0.9010975238078297,0.9041533546325878
xgb,0.9170933831588273,0.9201277955271565
deepflow,0.9122733623091865,0.9140127388535032
resnet18_imagenet,0.918982192158922,0.9203821656050956
resnet18_barlow_twins,0.9151830053421435,0.9171974522292994
resnet34_imagenet,0.925387646260826,0.9267515923566879
resnet34_barlow_twins,0.9216857023876823,0.9235668789808917
ae,0.7887915054680605,0.7929936305732485
lr,0.8900035021347106,0.89171974522293
lda,0.8680994925411745,0.8694267515923567
SVM,0.900205217027321,0.9012738853503185
RF,0.9092778957889254,0.910828025477707
xgb,0.9187925524060794,0.9203821656050956
deepflow,0.9129143406623422,0.9140127388535032
resnet18_imagenet,0.889323178634257,0.89171974522293
resnet18_barlow_twins,0.9118546879726175,0.9140127388535032
resnet34_imagenet,0.9302161669593212,0.9331210191082803
resnet34_barlow_twins,0.9138261254077893,0.9171974522292994
ae,0.8134774118900546,0.8184713375796179
lr,0.9024922002493949,0.9044585987261147
lda,0.9065702240247234,0.9076433121019108
SVM,0.902887144428758,0.9044585987261147
RF,0.9023357370675357,0.9044585987261147
xgb,0.9154723665987713,0.9171974522292994
deepflow,0.8737502431402215,0.8785942492012779
resnet18_imagenet,0.8724417089890155,0.8753993610223643
resnet18_barlow_twins,0.8908486241420468,0.8945686900958466
resnet34_imagenet,0.8846435945531635,0.8881789137380192
resnet34_barlow_twins,0.8925239628242054,0.8945686900958466
ae,0.7651423516415616,0.7763578274760383
lr,0.8764058192595544,0.8817891373801917
lda,0.866502777010536,0.8690095846645367
SVM,0.8651294800916997,0.8722044728434505
RF,0.87601795146423,0.8817891373801917
xgb,0.8970215757209713,0.9009584664536742
deepflow,0.928493616819218,0.9297124600638977
resnet18_imagenet,0.9182869454972757,0.9201277955271565
resnet18_barlow_twins,0.9348027551073359,0.9361022364217252
resnet34_imagenet,0.924462576991618,0.9265175718849841
resnet34_barlow_twins,0.9276005552010458,0.9297124600638977
ae,0.8071627427141969,0.8146964856230032
lr,0.9410512615941715,0.9424920127795527
lda,0.8819732707441562,0.8849840255591054
SVM,0.9255151221832618,0.9265175718849841
RF,0.9284172141038692,0.9297124600638977
xgb,0.95402833904186,0.9552715654952076
deepflow,0.8836954805152755,0.8849840255591054
resnet18_imagenet,0.9027731502515692,0.9041533546325878
resnet18_barlow_twins,0.9021380962934903,0.9041533546325878
resnet34_imagenet,0.8881380897334518,0.8913738019169329
resnet34_barlow_twins,0.8841823463983609,0.8881789137380192
ae,0.764814881105337,0.7731629392971247
lr,0.8708381229401662,0.8753993610223643
lda,0.8251124788526263,0.8338658146964856
SVM,0.8817810976293595,0.8881789137380192
RF,0.8773055004067662,0.8849840255591054
xgb,0.8988743343528847,0.9041533546325878
deepflow,0.9022893205906232,0.9044585987261147
resnet18_imagenet,0.9113107268055063,0.9140127388535032
resnet18_barlow_twins,0.9014049567864829,0.9044585987261147
resnet34_imagenet,0.8974944818445135,0.9012738853503185
resnet34_barlow_twins,0.9245391161372781,0.9267515923566879
ae,0.7773196172281431,0.7834394904458599
lr,0.8948376812915867,0.8980891719745223
lda,0.8596331303592478,0.8630573248407644
SVM,0.8659910348933725,0.8694267515923567
RF,0.8916017119765917,0.8949044585987261
xgb,0.9211721211661398,0.9235668789808917
deepflow,0.9294173508353466,0.9299363057324841
resnet18_imagenet,0.9004581557696402,0.9012738853503185
resnet18_barlow_twins,0.9193481489423162,0.9203821656050956
resnet34_imagenet,0.9162058284309755,0.9171974522292994
resnet34_barlow_twins,0.9260782668125276,0.9267515923566879
ae,0.808161798326491,0.8121019108280255
lr,0.8962479108787382,0.8980891719745223
lda,0.8595489344632963,0.8598726114649682
SVM,0.9027926566780459,0.9044585987261147
RF,0.9083176416518656,0.910828025477707
xgb,0.9193392363436063,0.9203821656050956
deepflow,0.9051282087344465,0.9073482428115016
resnet18_imagenet,0.9144537657032217,0.9169329073482428
resnet18_barlow_twins,0.9346977483266833,0.9361022364217252
resnet34_imagenet,0.9401709174889251,0.9424920127795527
resnet34_barlow_twins,0.903894856294944,0.9073482428115016
ae,0.7662561224144316,0.7731629392971247
lr,0.894306642910411,0.8977635782747604
lda,0.8788673036332811,0.8817891373801917
SVM,0.8985839937013456,0.9009584664536742
RF,0.9241626164328441,0.9265175718849841
xgb,0.9410615659233224,0.9424920127795527
deepflow,0.8985524586495104,0.9009584664536742
resnet18_imagenet,0.9009442997361767,0.9041533546325878
resnet18_barlow_twins,0.9106242896546449,0.9137380191693291
resnet34_imagenet,0.8968657572749517,0.9009584664536742
resnet34_barlow_twins,0.8882377791202098,0.8945686900958466
ae,0.7960773050185451,0.805111821086262
lr,0.9018943173685019,0.9041533546325878
lda,0.8917822337686638,0.8945686900958466
SVM,0.91322349817577,0.9169329073482428
RF,0.8812268158027393,0.8849840255591054
xgb,0.8908946079508647,0.8945686900958466
deepflow,0.8763396180175423,0.8785942492012779
resnet18_imagenet,0.8735022771406806,0.8753993610223643
resnet18_barlow_twins,0.8902212249256104,0.8913738019169329
resnet34_imagenet,0.9023242526216353,0.9041533546325878
resnet34_barlow_twins,0.8954020931853159,0.8977635782747604
ae,0.7927802610778824,0.8019169329073482
lr,0.8939853023761197,0.8977635782747604
lda,0.8608741895722611,0.865814696485623
SVM,0.8977134715203405,0.9009584664536742
RF,0.8926361992136653,0.8945686900958466
xgb,0.9144177618149433,0.9169329073482428
